day_time,count,distance,calorie,speed,recommendation
1650142800000,3735,2886.099998474121,116.62000060081482,5.382909536361694,6000
1650146400000,76,56.0399866104126,2.9599993228912354,4.166094779968262,6000
1650150000000,15,11.3100004196167,0.5299999713897705,4.700000286102295,6000
1650153600000,41,31.680000066757202,1.3900000229477882,5.383854866027832,6000
1650157200000,0,0.0,0.0,0,6000
1650160800000,0,0.0,0.0,0,6000
1650164400000,0,0.0,0.0,0,6000
1650168000000,0,0.0,0.0,0,6000
1650171600000,0,0.0,0.0,0,6000
1650175200000,0,0.0,0.0,0,6000
1650178800000,0,0.0,0.0,0,6000
1650182400000,0,0.0,0.0,0,6000
1650186000000,0,0.0,0.0,0,6000
1650189600000,28,20.020000457763672,1.079999953508377,3.6588728427886963,6000
1650193200000,0,0.0,0.0,0,6000
1650196800000,455,356.77000427246094,14.360000103712082,5.709840297698975,6000
1650200400000,301,230.51000308990479,9.919999778270721,5.102419376373291,6000
1650204000000,70,52.09000015258789,2.540000021457672,4.3914477825164795,6000
1650207600000,2312,1846.269986152649,69.80000102519989,5.46801479657491,6000
1650211200000,8071,6477.689979553223,242.62000250816345,6.506324132283528,6000
1650214800000,7438,5976.639987945557,227.9999988079071,6.330588340759277,6000
1650218400000,186,137.44000190496445,7.049999974668026,4.3756521344184875,6000
1650222000000,146,108.62000036239624,5.379999965429306,4.4308435916900635,6000
1650225600000,0,0.0,0.0,0,6000
1650229200000,4783,3681.119993686676,150.9000004529953,5.340078544616699,6000
1650232800000,351,262.75,13.780000180006027,4.542508125305176,6000
1650236400000,58,43.81999969482422,2.1500000953674316,4.799999713897705,6000
1650240000000,0,0.0,0.0,0,6000
1650243600000,0,0.0,0.0,0,6000
1650247200000,0,0.0,0.0,0,6000
1650250800000,0,0.0,0.0,0,6000
1650254400000,0,0.0,0.0,0,6000
1650258000000,0,0.0,0.0,0,6000
1650261600000,0,0.0,0.0,0,6000
1650265200000,0,0.0,0.0,0,6000
1650268800000,0,0.0,0.0,0,6000
1650272400000,0,0.0,0.0,0,6000
1650276000000,60,44.03999996185303,2.199999988079071,4.079084277153015,6000
1650279600000,0,0.0,0.0,0,6000
1650283200000,1153,890.9299945831299,37.52000018954277,5.1785017649332685,6000
1650286800000,11,8.010000228881836,0.4000000059604645,4.199999809265137,6000
1650290400000,13,9.680000305175781,0.47999998927116394,4.600000381469727,6000
1650294000000,0,0.0,0.0,0,6000
1650297600000,0,0.0,0.0,0,6000
1650301200000,0,0.0,0.0,0,6000
1650304800000,39,29.330000162124634,1.3499999418854713,4.808598518371582,6000
1650308400000,202,156.10999584197998,6.669999927282333,5.700663328170776,6000
1650312000000,12,9.229999542236328,0.41999998688697815,5.099999904632568,6000
1650315600000,5970,4713.78000831604,180.0800010561943,5.962520885467529,6000
1650319200000,57,43.55000114440918,2.0800000429153442,4.938974380493164,6000
1650322800000,0,0.0,0.0,0,6000
1650326400000,34,25.549999237060547,1.2599999904632568,4.400000095367432,6000
1650157200000,0,0.0,0.0,0,6000
1650160800000,0,0.0,0.0,0,6000
1650164400000,0,0.0,0.0,0,6000
1650168000000,0,0.0,0.0,0,6000
1650171600000,0,0.0,0.0,0,6000
1650175200000,0,0.0,0.0,0,6000
1650178800000,0,0.0,0.0,0,6000
1650182400000,0,0.0,0.0,0,6000
1650186000000,0,0.0,0.0,0,6000
1650189600000,28,20.020000457763672,1.079999953508377,3.6588728427886963,6000
1650193200000,0,0.0,0.0,0,6000
1650196800000,455,356.77000427246094,14.360000103712082,5.709840297698975,6000
1650200400000,301,230.51000308990479,9.919999778270721,5.102419376373291,6000
1650204000000,70,52.09000015258789,2.540000021457672,4.3914477825164795,6000
1650207600000,2312,1846.269986152649,69.80000102519989,5.46801479657491,6000
1650211200000,8071,6477.689979553223,242.62000250816345,6.506324132283528,6000
1650214800000,7438,5976.639987945557,227.9999988079071,6.330588340759277,6000
1650218400000,186,137.44000190496445,7.049999974668026,4.3756521344184875,6000
1650222000000,146,108.62000036239624,5.379999965429306,4.4308435916900635,6000
1650225600000,0,0.0,0.0,0,6000
1650229200000,4783,3681.119993686676,150.9000004529953,5.340078544616699,6000
1650232800000,351,262.75,13.780000180006027,4.542508125305176,6000
1650236400000,58,43.81999969482422,2.1500000953674316,4.799999713897705,6000
1650240000000,0,0.0,0.0,0,6000
1649984400000,0,0.0,0.0,0,6000
1649988000000,0,0.0,0.0,0,6000
1649991600000,0,0.0,0.0,0,6000
1649995200000,0,0.0,0.0,0,6000
1649998800000,0,0.0,0.0,0,6000
1650002400000,0,0.0,0.0,0,6000
