binning_data,update_time,create_time,source_pkg_name,source_type,count,speed,distance,calorie,pkg_name,datauuid,day_time
5d204708-18f3-468d-9a18-4fba4a922812.binning_data.json,2022-03-03 23:12:14.285,2022-03-03 23:12:14.285,com.sec.android.app.shealth,0,3215,1.4754596,2495.21,111.71,com.sec.android.app.shealth,5d204708-18f3-468d-9a18-4fba4a922812,1646265600000,
4d6a2070-a04f-450e-bdb5-49120f8577d2.binning_data.json,2022-03-11 21:30:13.488,2022-03-11 06:59:13.018,com.sec.android.app.shealth,-2,9845,1.4803209,7616.49,330.43,com.sec.android.app.shealth,4d6a2070-a04f-450e-bdb5-49120f8577d2,1646956800000,
a53d0acc-8492-4a90-8d22-2a9b13c0bc78.binning_data.json,2022-03-09 18:00:31.130,2022-03-09 07:54:56.881,com.sec.android.app.shealth,-2,3087,1.4812994,2414.19,108.82,com.sec.android.app.shealth,a53d0acc-8492-4a90-8d22-2a9b13c0bc78,1646784000000,
80a63a19-db3e-4a3e-a293-9b41c85b22d5.binning_data.json,2022-03-06 07:30:21.102,2022-03-06 07:30:21.102,com.sec.android.app.shealth,0,10536,1.4486836,8111.96,367.07,com.sec.android.app.shealth,80a63a19-db3e-4a3e-a293-9b41c85b22d5,1646438400000,
18629fa8-9399-422a-b81a-516c69098049.binning_data.json,2022-03-11 06:58:12.354,2022-03-11 06:58:12.354,com.sec.android.app.shealth,0,7518,1.5083793,5874.51,251.51,com.sec.android.app.shealth,18629fa8-9399-422a-b81a-516c69098049,1646870400000,
867d5140-28b5-4f46-b0e2-ce683be1de65.binning_data.json,2022-03-10 20:26:24.175,2022-03-10 06:45:01.229,com.sec.android.app.shealth,-2,7518,1.5083793,5874.51,251.51,com.sec.android.app.shealth,867d5140-28b5-4f46-b0e2-ce683be1de65,1646870400000,
a5a3b0ff-0fbb-4949-973d-aacf182dcf3e.binning_data.json,2022-03-14 20:08:28.051,2022-03-14 06:35:02.259,com.sec.android.app.shealth,-2,8369,1.449814,6478.75,288.88,com.sec.android.app.shealth,a5a3b0ff-0fbb-4949-973d-aacf182dcf3e,1647216000000,
c02f2a40-65f1-4f36-a2e2-1d6b4a4f2e97.binning_data.json,2022-03-09 07:50:55.804,2022-03-09 07:50:55.804,com.sec.android.app.shealth,0,10566,1.6426047,8413.78,350.45,com.sec.android.app.shealth,c02f2a40-65f1-4f36-a2e2-1d6b4a4f2e97,1646697600000,
6c3e6aa7-a032-4d41-9105-fe0a61c0dc5f.binning_data.json,2022-03-13 20:55:57.125,2022-03-13 14:30:53.693,com.sec.android.app.shealth,-2,4643,1.4958987,3588.69,149.97,com.sec.android.app.shealth,6c3e6aa7-a032-4d41-9105-fe0a61c0dc5f,1647129600000,
81e41367-f203-4df4-a1c3-c5a9f0ae9333.binning_data.json,2022-03-07 06:53:48.887,2022-03-07 06:53:48.887,com.sec.android.app.shealth,0,5539,1.4514693,4268.96,187.03,com.sec.android.app.shealth,81e41367-f203-4df4-a1c3-c5a9f0ae9333,1646524800000,
a1e49e39-7809-46dd-8100-16fd59a9827b.binning_data.json,2022-03-12 07:09:30.896,2022-03-12 07:09:30.896,com.sec.android.app.shealth,0,9845,1.4803209,7616.49,330.43,com.sec.android.app.shealth,a1e49e39-7809-46dd-8100-16fd59a9827b,1646956800000,
0ade75a1-ca1f-45b8-a38c-deb2d83adcb7.binning_data.json,2022-03-17 20:17:56.390,2022-03-17 07:30:02.257,com.sec.android.app.shealth,-2,7112,1.5149877,5536.58,239.1,com.sec.android.app.shealth,0ade75a1-ca1f-45b8-a38c-deb2d83adcb7,1647475200000,
84031242-c001-459a-8801-f8de192e50fd.binning_data.json,2022-03-12 21:19:10.039,2022-03-12 08:20:32.486,com.sec.android.app.shealth,-2,5050,1.4496734,3897.5,172.81,com.sec.android.app.shealth,84031242-c001-459a-8801-f8de192e50fd,1647043200000,
c1c63327-04dd-442d-8628-0951648d2dd8.binning_data.json,2022-03-16 20:24:16.030,2022-03-16 06:42:35.307,com.sec.android.app.shealth,-2,9280,1.5353444,7264.98,310.19,com.sec.android.app.shealth,c1c63327-04dd-442d-8628-0951648d2dd8,1647388800000,
4d002265-1936-4d2b-a111-8e9ec275b64b.binning_data.json,2022-03-27 07:07:45.759,2022-03-20 14:16:36.586,com.sec.android.app.shealth,-2,5820,1.4668372,4488.88,199.38,com.sec.android.app.shealth,4d002265-1936-4d2b-a111-8e9ec275b64b,1647734400000,
d14aa37d-feb2-4f31-9253-aa1afa4bb932.binning_data.json,2022-03-10 06:44:11.369,2022-03-10 06:44:11.369,com.sec.android.app.shealth,0,3087,1.4812994,2414.19,108.82,com.sec.android.app.shealth,d14aa37d-feb2-4f31-9253-aa1afa4bb932,1646784000000,
89b3be18-79ba-4beb-86fe-28366d63343b.binning_data.json,2022-03-13 23:06:23.070,2022-03-13 23:06:23.070,com.sec.android.app.shealth,0,4643,1.4958987,3588.69,149.97,com.sec.android.app.shealth,89b3be18-79ba-4beb-86fe-28366d63343b,1647129600000,
2846d7d8-790c-4276-9144-344c42db8ca9.binning_data.json,2022-03-14 23:00:38.940,2022-03-14 23:00:38.940,com.sec.android.app.shealth,0,8369,1.449814,6478.75,288.88,com.sec.android.app.shealth,2846d7d8-790c-4276-9144-344c42db8ca9,1647216000000,
